frequency_hz,confidence,valid,algorithm
[YIN] Pitch: 82.83 Hz | Confidence: 1.00
[YIN] Pitch: 82.55 Hz | Confidence: 1.00
[YIN] Pitch: 82.75 Hz | Confidence: 0.98
[YIN] Pitch: 82.58 Hz | Confidence: 1.00
[YIN] Pitch: 82.79 Hz | Confidence: 1.00
[YIN] Pitch: 83.09 Hz | Confidence: 0.86
[YIN] Pitch: 82.64 Hz | Confidence: 1.00
[YIN] Pitch: 82.83 Hz | Confidence: 1.00
[YIN] Pitch: 82.56 Hz | Confidence: 1.00
[YIN] Pitch: 110.06 Hz | Confidence: 1.00
[YIN] Pitch: 111.35 Hz | Confidence: 0.93
[YIN] Pitch: 110.42 Hz | Confidence: 1.00
[YIN] Pitch: 109.99 Hz | Confidence: 1.00
[YIN] Pitch: 110.00 Hz | Confidence: 1.00
[YIN] Pitch: 109.83 Hz | Confidence: 0.93
[YIN] Pitch: 110.00 Hz | Confidence: 0.99
[YIN] Pitch: 110.01 Hz | Confidence: 1.00
[YIN] Pitch: 110.01 Hz | Confidence: 1.00
[YIN] Pitch: 146.69 Hz | Confidence: 0.99
[YIN] Pitch: 145.81 Hz | Confidence: 0.97
[YIN] Pitch: 147.15 Hz | Confidence: 0.99
[YIN] Pitch: 146.89 Hz | Confidence: 0.99
[YIN] Pitch: 146.86 Hz | Confidence: 0.97
[YIN] Pitch: 146.82 Hz | Confidence: 0.99
[YIN] Pitch: 147.16 Hz | Confidence: 0.98
[YIN] Pitch: 197.06 Hz | Confidence: 0.94
[YIN] Pitch: 195.83 Hz | Confidence: 0.93
[YIN] Pitch: 195.83 Hz | Confidence: 0.98
[YIN] Pitch: 196.74 Hz | Confidence: 0.83
[YIN] Pitch: 195.58 Hz | Confidence: 0.94
[YIN] Pitch: 196.46 Hz | Confidence: 1.00
[YIN] Pitch: 195.56 Hz | Confidence: 0.94
[YIN] Pitch: 247.39 Hz | Confidence: 0.98
[YIN] Pitch: 249.14 Hz | Confidence: 0.97
[YIN] Pitch: 249.21 Hz | Confidence: 0.98
[YIN] Pitch: 249.25 Hz | Confidence: 0.99
[YIN] Pitch: 249.27 Hz | Confidence: 0.99
[YIN] Pitch: 248.83 Hz | Confidence: 0.95
[YIN] Pitch: 248.51 Hz | Confidence: 0.92
[YIN] Pitch: 248.79 Hz | Confidence: 0.95
[YIN] Pitch: 247.18 Hz | Confidence: 0.96
[YIN] Pitch: 331.26 Hz | Confidence: 0.94
[YIN] Pitch: 331.49 Hz | Confidence: 0.97
[YIN] Pitch: 331.31 Hz | Confidence: 0.95
[YIN] Pitch: 331.20 Hz | Confidence: 0.98
[YIN] Pitch: 327.75 Hz | Confidence: 0.86
[YIN] Pitch: 331.23 Hz | Confidence: 0.96
[YIN] Pitch: 331.40 Hz | Confidence: 0.95

